"folder"	"mzML"	"polarity"	"time"	"type"	"class"	"mode"
"2020/2020_01"	"LowIS_Mix17_2_POS.mzML"	"POS"	"2020-01-15 08:15:45"	"Mix17"	"Water_Mix17_Low"	"FS"
"2020/2020_01"	"LowIS_Mix01_3_POS.mzML"	"POS"	"2020-01-15 08:24:31"	"Mix01"	"Water_Mix01_Low"	"FS"
"2020/2020_01"	"LowIS_Mix04_2_POS.mzML"	"POS"	"2020-01-15 08:33:16"	"Mix04"	"Water_Mix04_Low"	"FS"
"2020/2020_01"	"LowIS_Mix15_3_POS.mzML"	"POS"	"2020-01-15 08:42:01"	"Mix15"	"Water_Mix15_Low"	"FS"
"2020/2020_01"	"HighIS_Mix11_3_POS.mzML"	"POS"	"2020-01-15 08:53:49"	"Mix11"	"Water_Mix11_High"	"FS"
"2020/2020_01"	"LowIS_Mix17_3_POS.mzML"	"POS"	"2020-01-15 09:02:34"	"Mix17"	"Water_Mix17_Low"	"FS"
"2020/2020_01"	"LowIS_Mix20_3_POS.mzML"	"POS"	"2020-01-15 09:11:20"	"Mix20"	"Water_Mix20_Low"	"FS"
"2020/2020_01"	"HighIS_Mix07_3_POS.mzML"	"POS"	"2020-01-15 09:20:06"	"Mix07"	"Water_Mix07_High"	"FS"
"2020/2020_01"	"LowIS_Mix08_3_POS.mzML"	"POS"	"2020-01-15 09:28:51"	"Mix08"	"Water_Mix08_Low"	"FS"
"2020/2020_01"	"LowIS_Mix18_3_POS.mzML"	"POS"	"2020-01-15 09:40:38"	"Mix18"	"Water_Mix18_Low"	"FS"
"2020/2020_01"	"HighIS_Mix20_2_POS.mzML"	"POS"	"2020-01-15 09:49:24"	"Mix20"	"Water_Mix20_High"	"FS"
"2020/2020_01"	"LowIS_Mix13_1_POS.mzML"	"POS"	"2020-01-15 09:58:10"	"Mix13"	"Water_Mix13_Low"	"FS"
"2020/2020_01"	"LowIS_Mix09_3_POS.mzML"	"POS"	"2020-01-15 10:06:56"	"Mix09"	"Water_Mix09_Low"	"FS"
"2020/2020_01"	"LowIS_Mix19_1_POS.mzML"	"POS"	"2020-01-15 10:15:41"	"Mix19"	"Water_Mix19_Low"	"FS"
"2020/2020_01"	"HighIS_Mix01_2_POS.mzML"	"POS"	"2020-01-15 10:27:28"	"Mix01"	"Water_Mix01_High"	"FS"
"2020/2020_01"	"HighIS_Mix05_1_POS.mzML"	"POS"	"2020-01-15 10:36:13"	"Mix05"	"Water_Mix05_High"	"FS"
"2020/2020_01"	"LowIS_Mix05_1_POS.mzML"	"POS"	"2020-01-15 10:44:58"	"Mix05"	"Water_Mix05_Low"	"FS"
"2020/2020_01"	"HighIS_Mix18_2_POS.mzML"	"POS"	"2020-01-15 10:53:43"	"Mix18"	"Water_Mix18_High"	"FS"
"2020/2020_01"	"HighIS_Mix17_2_POS.mzML"	"POS"	"2020-01-15 11:02:29"	"Mix17"	"Water_Mix17_High"	"FS"
"2020/2020_01"	"LowIS_Mix03_3_POS.mzML"	"POS"	"2020-01-15 11:14:17"	"Mix03"	"Water_Mix03_Low"	"FS"
"2020/2020_01"	"LowIS_Mix02_1_POS.mzML"	"POS"	"2020-01-15 11:23:02"	"Mix02"	"Water_Mix02_Low"	"FS"
"2020/2020_01"	"LowIS_Mix20_1_POS.mzML"	"POS"	"2020-01-15 11:31:46"	"Mix20"	"Water_Mix20_Low"	"FS"
"2020/2020_01"	"HighIS_Mix10_3_POS.mzML"	"POS"	"2020-01-15 11:40:32"	"Mix10"	"Water_Mix10_High"	"FS"
"2020/2020_01"	"HighIS_Mix04_2_POS.mzML"	"POS"	"2020-01-15 11:49:16"	"Mix04"	"Water_Mix04_High"	"FS"
"2020/2020_01"	"LowIS_Mix06_2_POS.mzML"	"POS"	"2020-01-15 12:01:03"	"Mix06"	"Water_Mix06_Low"	"FS"
"2020/2020_01"	"LowIS_Mix15_2_POS.mzML"	"POS"	"2020-01-15 12:09:48"	"Mix15"	"Water_Mix15_Low"	"FS"
"2020/2020_01"	"LowIS_Mix15_1_POS.mzML"	"POS"	"2020-01-15 12:18:34"	"Mix15"	"Water_Mix15_Low"	"FS"
"2020/2020_01"	"HighIS_Mix15_1_POS.mzML"	"POS"	"2020-01-15 12:27:19"	"Mix15"	"Water_Mix15_High"	"FS"
"2020/2020_01"	"HighIS_Mix04_3_POS.mzML"	"POS"	"2020-01-15 12:36:05"	"Mix04"	"Water_Mix04_High"	"FS"
"2020/2020_01"	"HighIS_Mix20_3_POS.mzML"	"POS"	"2020-01-15 12:47:51"	"Mix20"	"Water_Mix20_High"	"FS"
"2020/2020_01"	"LowIS_Mix16_1_POS.mzML"	"POS"	"2020-01-15 12:56:37"	"Mix16"	"Water_Mix16_Low"	"FS"
"2020/2020_01"	"HighIS_Mix05_3_POS.mzML"	"POS"	"2020-01-15 13:05:22"	"Mix05"	"Water_Mix05_High"	"FS"
"2020/2020_01"	"HighIS_Mix13_2_POS.mzML"	"POS"	"2020-01-15 13:14:07"	"Mix13"	"Water_Mix13_High"	"FS"
"2020/2020_01"	"HighIS_Mix01_CE20_POS.mzML"	"POS"	"2020-01-15 13:28:57"	"Mix01"	"Water_Mix01_High"	"CE20"
"2020/2020_01"	"HighIS_Mix01_CE30_POS.mzML"	"POS"	"2020-01-15 13:37:45"	"Mix01"	"Water_Mix01_High"	"CE30"
"2020/2020_01"	"HighIS_Mix02_CE20_POS.mzML"	"POS"	"2020-01-15 13:46:33"	"Mix02"	"Water_Mix02_High"	"CE20"
"2020/2020_01"	"HighIS_Mix02_CE30_POS.mzML"	"POS"	"2020-01-15 13:55:20"	"Mix02"	"Water_Mix02_High"	"CE30"
"2020/2020_01"	"HighIS_Mix03_CE20_POS.mzML"	"POS"	"2020-01-15 14:04:09"	"Mix03"	"Water_Mix03_High"	"CE20"
"2020/2020_01"	"HighIS_Mix03_CE30_POS.mzML"	"POS"	"2020-01-15 14:15:57"	"Mix03"	"Water_Mix03_High"	"CE30"
"2020/2020_01"	"HighIS_Mix04_CE20_POS.mzML"	"POS"	"2020-01-15 14:24:45"	"Mix04"	"Water_Mix04_High"	"CE20"
"2020/2020_01"	"HighIS_Mix04_CE30_POS.mzML"	"POS"	"2020-01-15 14:33:33"	"Mix04"	"Water_Mix04_High"	"CE30"
"2020/2020_01"	"HighIS_Mix05_CE20_POS.mzML"	"POS"	"2020-01-15 14:42:21"	"Mix05"	"Water_Mix05_High"	"CE20"
"2020/2020_01"	"HighIS_Mix05_CE30_POS.mzML"	"POS"	"2020-01-15 14:51:09"	"Mix05"	"Water_Mix05_High"	"CE30"
"2020/2020_01"	"HighIS_Mix06_CE20_POS.mzML"	"POS"	"2020-01-15 15:02:58"	"Mix06"	"Water_Mix06_High"	"CE20"
"2020/2020_01"	"HighIS_Mix06_CE30_POS.mzML"	"POS"	"2020-01-15 15:11:46"	"Mix06"	"Water_Mix06_High"	"CE30"
"2020/2020_01"	"HighIS_Mix07_CE20_POS.mzML"	"POS"	"2020-01-15 15:20:34"	"Mix07"	"Water_Mix07_High"	"CE20"
"2020/2020_01"	"HighIS_Mix07_CE30_POS.mzML"	"POS"	"2020-01-15 15:29:22"	"Mix07"	"Water_Mix07_High"	"CE30"
"2020/2020_01"	"HighIS_Mix08_CE20_POS.mzML"	"POS"	"2020-01-15 15:38:11"	"Mix08"	"Water_Mix08_High"	"CE20"
"2020/2020_01"	"HighIS_Mix08_CE30_POS.mzML"	"POS"	"2020-01-15 15:49:59"	"Mix08"	"Water_Mix08_High"	"CE30"
